freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.238e+03,1.529e+02,5.917e+01,3.450e+03
1.5,1.830e+03,1.155e+02,3.029e+02,2.249e+03
3.0,8.316e+01,3.778e+01,2.761e+02,3.970e+02
4.6,1.321e+03,6.874e+01,1.838e+02,1.573e+03
6.1,4.558e+03,1.981e+02,1.521e+02,4.908e+03
7.6,6.796e+03,2.864e+02,9.966e+01,7.182e+03
9.1,9.809e+03,2.519e+02,7.785e+01,1.014e+04
10.7,1.376e+04,3.255e+02,6.936e+01,1.416e+04
12.2,1.833e+04,4.535e+02,6.865e+01,1.885e+04
13.7,2.378e+04,5.914e+02,7.395e+01,2.444e+04
15.2,3.005e+04,7.293e+02,6.671e+01,3.085e+04
16.8,3.809e+04,9.414e+02,6.157e+01,3.909e+04
18.3,4.752e+04,1.176e+03,5.915e+01,4.876e+04
19.8,5.715e+04,1.387e+03,5.724e+01,5.860e+04
21.3,6.770e+04,1.631e+03,6.382e+01,6.940e+04
22.9,7.950e+04,1.952e+03,7.463e+01,8.152e+04
24.4,9.250e+04,2.365e+03,7.721e+01,9.494e+04
25.9,1.083e+05,2.769e+03,9.093e+01,1.111e+05
27.4,1.278e+05,3.137e+03,9.995e+01,1.311e+05
28.9,1.520e+05,3.609e+03,9.754e+01,1.557e+05
30.5,1.813e+05,4.264e+03,9.855e+01,1.857e+05
32.0,2.153e+05,5.027e+03,1.024e+02,2.205e+05
33.5,2.535e+05,6.044e+03,1.208e+02,2.597e+05
35.0,3.015e+05,7.719e+03,1.512e+02,3.094e+05
36.6,3.677e+05,1.008e+04,1.816e+02,3.779e+05
38.1,4.526e+05,1.320e+04,2.162e+02,4.660e+05
39.6,5.632e+05,1.721e+04,2.797e+02,5.807e+05
41.1,7.126e+05,2.239e+04,2.453e+02,7.352e+05
42.7,9.100e+05,2.673e+04,1.242e+02,9.368e+05
44.2,1.184e+06,3.121e+04,1.647e+02,1.215e+06
45.7,1.599e+06,4.195e+04,7.748e+02,1.642e+06
47.2,2.352e+06,7.144e+04,6.237e+03,2.429e+06
48.8,3.949e+06,1.552e+05,2.465e+04,4.129e+06
50.3,9.043e+06,3.996e+05,5.416e+04,9.497e+06
51.8,1.661e+07,6.685e+05,6.581e+04,1.734e+07
53.3,1.708e+07,6.969e+05,4.727e+04,1.782e+07
54.9,1.321e+07,6.407e+05,4.208e+04,1.389e+07
56.4,9.368e+06,5.011e+05,3.001e+04,9.899e+06
57.9,6.632e+06,3.815e+05,1.861e+04,7.032e+06
59.4,4.642e+06,3.724e+05,2.970e+04,5.044e+06
60.9,3.296e+06,3.336e+05,3.710e+04,3.666e+06
62.5,2.431e+06,2.788e+05,3.882e+04,2.749e+06
64.0,1.862e+06,2.018e+05,2.600e+04,2.090e+06
65.5,1.478e+06,1.125e+05,7.157e+03,1.598e+06
67.0,1.229e+06,7.053e+04,1.548e+03,1.301e+06
68.6,1.053e+06,6.339e+04,2.157e+03,1.118e+06
70.1,8.717e+05,6.039e+04,2.946e+03,9.350e+05
71.6,6.820e+05,5.322e+04,2.700e+03,7.379e+05
73.1,5.463e+05,4.854e+04,2.963e+03,5.978e+05
74.7,4.456e+05,4.597e+04,4.252e+03,4.958e+05
76.2,3.648e+05,4.357e+04,5.441e+03,4.138e+05
77.7,2.923e+05,3.706e+04,5.154e+03,3.345e+05
79.2,2.315e+05,2.976e+04,4.165e+03,2.654e+05
80.8,1.860e+05,2.338e+04,3.286e+03,2.127e+05
82.3,1.451e+05,1.867e+04,2.882e+03,1.666e+05
83.8,1.116e+05,1.700e+04,3.827e+03,1.324e+05
85.3,8.841e+04,1.453e+04,5.136e+03,1.081e+05
86.8,7.809e+04,1.345e+04,5.104e+03,9.664e+04
88.4,8.131e+04,1.696e+04,4.464e+03,1.027e+05
89.9,9.673e+04,2.293e+04,5.387e+03,1.250e+05
91.4,1.049e+05,2.996e+04,6.234e+03,1.411e+05
92.9,1.025e+05,3.548e+04,6.794e+03,1.448e+05
94.5,9.970e+04,3.718e+04,9.108e+03,1.460e+05
96.0,1.085e+05,3.606e+04,1.207e+04,1.566e+05
