freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.088e+02,6.284e+01,5.262e+02,1.198e+03
1.5,3.566e+02,5.436e+01,3.871e+02,7.980e+02
3.1,6.990e+01,2.917e+01,7.712e+01,1.762e+02
4.6,1.308e+03,8.523e+01,5.251e+01,1.446e+03
6.1,3.966e+03,1.984e+02,5.586e+01,4.220e+03
7.7,5.677e+03,9.619e+01,5.867e+01,5.832e+03
9.2,8.346e+03,1.044e+02,6.844e+01,8.519e+03
10.8,1.170e+04,1.604e+02,7.728e+01,1.194e+04
12.3,1.576e+04,2.202e+02,7.537e+01,1.605e+04
13.8,2.169e+04,2.954e+02,8.421e+01,2.207e+04
15.4,2.873e+04,3.637e+02,9.206e+01,2.919e+04
16.9,3.259e+04,4.743e+02,9.119e+01,3.315e+04
18.4,3.549e+04,6.312e+02,7.586e+01,3.620e+04
20.0,3.946e+04,8.034e+02,6.735e+01,4.033e+04
21.5,4.510e+04,1.041e+03,5.795e+01,4.620e+04
23.1,5.766e+04,1.273e+03,6.346e+01,5.900e+04
24.6,7.062e+04,1.521e+03,6.963e+01,7.221e+04
26.1,8.618e+04,1.911e+03,8.830e+01,8.817e+04
27.7,1.019e+05,2.426e+03,1.530e+02,1.045e+05
29.2,1.129e+05,3.058e+03,3.121e+02,1.163e+05
30.7,1.152e+05,3.784e+03,5.824e+02,1.195e+05
32.3,9.567e+04,4.779e+03,1.075e+03,1.015e+05
33.8,7.278e+04,5.958e+03,1.875e+03,8.062e+04
35.3,8.667e+04,7.327e+03,2.867e+03,9.687e+04
36.9,1.087e+05,9.157e+03,4.030e+03,1.219e+05
38.4,1.318e+05,1.149e+04,4.280e+03,1.476e+05
40.0,1.510e+05,1.461e+04,5.393e+03,1.710e+05
41.5,1.698e+05,1.893e+04,1.095e+04,1.997e+05
43.0,2.015e+05,2.594e+04,2.298e+04,2.504e+05
44.6,2.609e+05,3.792e+04,4.738e+04,3.462e+05
46.1,3.574e+05,5.914e+04,1.127e+05,5.293e+05
47.6,4.721e+05,8.978e+04,2.595e+05,8.213e+05
49.2,5.292e+05,1.169e+05,5.018e+05,1.148e+06
50.7,4.862e+05,1.337e+05,9.337e+05,1.554e+06
52.2,3.253e+05,1.208e+05,1.399e+06,1.846e+06
53.8,1.575e+05,7.563e+04,1.507e+06,1.740e+06
55.3,7.517e+04,3.391e+04,1.259e+06,1.368e+06
56.9,6.697e+04,1.568e+04,1.031e+06,1.114e+06
58.4,9.348e+04,1.533e+04,8.744e+05,9.832e+05
59.9,1.214e+05,1.578e+04,7.359e+05,8.731e+05
61.5,1.867e+05,1.866e+04,7.737e+05,9.791e+05
63.0,3.241e+05,3.519e+04,9.354e+05,1.295e+06
64.5,5.036e+05,6.403e+04,1.048e+06,1.616e+06
66.1,8.280e+05,1.101e+05,1.303e+06,2.241e+06
67.6,1.332e+06,1.416e+05,1.701e+06,3.175e+06
69.2,1.997e+06,1.323e+05,2.189e+06,4.319e+06
70.7,2.407e+06,1.072e+05,2.381e+06,4.896e+06
72.2,2.248e+06,9.246e+04,2.066e+06,4.406e+06
